Deal,Image,Name,Price
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/454297/1.jpg?7786,Men Black Leather Wristwatch + Bracelets,"₦3,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/7276722/1.jpg?4917,Silicone LED Digital Sports Electronic Wristwatch - Unisex,"₦1,399"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/508624/1.jpg?6254,Xinew Luminous Chronograph Digital-Analogue (Water Resistant),"₦9,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/0341402/1.jpg?1933,Men's Fashion Sports Quartz Watch - Black,"₦2,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/9930732/1.jpg?3718,Elegant Ladies Elastic Wristwatch,"₦2,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/525848/1.jpg?9243,Non Fading Couple's Wristwatch -Silver & Gold,"₦12,900"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/0287202/1.jpg?2993,Men Studded Non Tarnish Chain Watch + Original Non Darkening Steel Necklace,"₦5,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/537759/1.jpg?0508,Lookworld Men Sleek Timepiece Brown Leather Analogue Watch Working Calendar- World,"₦9,199"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/6945041/1.jpg?0124,"Keep Moving Iced Designed Stylish Rugged Collection Of WristWatch + Iced Necklace,Ring & Bracelet For Women/Men","₦28,500"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/6723591/1.jpg?2503,Rubber Strap Band For Oraimo Smartwatch,"₦3,950"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/3063412/1.jpg?9810,2 IN 1 DIGITAL UNISEX WRISTWATCH WATERPROOF,"₦3,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/2392212/1.jpg?6105,Wrist Watche Fashion Iuminous Waterproof Simple Quartz Watch Gold/Brown,"₦3,970"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/047439/1.jpg?1497,O.T.SEA Exquisite Military Sports Quartz Wrist Watch + BANGLE (2 In 1),"₦5,953"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/3584712/1.jpg?9726,Tervis Very Beautiful & Excellent Finely Detailed Couples Wrist Watch + Very Classic Couples Bracelets,"₦29,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/6451491/1.jpg?2845,SPORT BUSINESS DIGITAL MENS WRISTWATCH WATERPROOF,"₦2,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/206299/1.jpg?2291,Lookworld Look World Super Exquisite Never Fade Couple  Wristwatch,"₦13,500"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/5179112/1.jpg?0670,T55 SMART WATCH T55 PRO MAX SMART WRISTWATCH WITH HEALTH FEATURES FOR IPHONE AND ANDROID WITH EARBUDS,"₦14,400"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/3661412/1.jpg?6254,Y68 Fitness Health And Lifestyle Smartwatch Bracelet,"₦4,190"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/4587202/1.jpg?0317,Unleash The Beast Rugged Amor /Big Size Golden Watch For Strong Men + Rugged Bracelet For Boss Men,"₦15,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/330656/1.jpg?8446,Megir Luxury Military Rectangle Chronograph Watch(Water Resistant),"₦16,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/0687391/1.jpg?6362,DIGITAL MENS WRISTWATCH WATERPROOF WITH FACE CAP,"₦3,500"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/1768171/1.jpg?8409,T55 SMART WATCH T55 PRO MAX SMART WRISTWATCH WITH HEALTH FEATURES FOR PHONE AND ANDROID,"₦17,500"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/3490822/1.jpg?9577,2023 Smart Watch Body Temperature Ultra Series 8 NFC Smartwatch Wireless Charging Bluetooth Call,"₦33,168"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/3063412/1.jpg?7474,BUSINESS MENS WOMENS WRISTWATCH TRENDY WITH BRACELET,"₦4,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/2368531/1.jpg?9325,Skmei 100% Waterproof Men Chronograph Double Faced Watch,"₦11,000"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/904329/1.jpg?5883,Men Classy Wristwatch + Money Bracelet,"₦5,300"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/2217071/1.jpg?0085,Wlisth Luminous Tungsten Steel  Waterproof Fashion Couple Watch Calendar Quartz Watch,"₦2,922"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/2008321/1.jpg?1833,Digital Sport Watch Men Sports Watch,"₦1,718"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/3112512/1.jpg?2350,Wlisth Fashionable Simple Men's Watch,"₦2,799"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/476218/1.jpg?8782,Fngeen 05 Calendar Sporty Waterproof Quartz Watch/Black,"₦4,351"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/6390311/1.jpg?9309,Curren Men Business Waterproof Watch,"₦9,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/4963441/1.jpg?1107,Color - Screen Smart Watch Heart Rate Sport Bracelet,"₦3,779"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/1334401/1.jpg?4300,"High Blood Pressure, Diabetic And Rhinitis Laser Therapy Watch","₦67,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/8352142/1.jpg?1875,Ultra 8  1:1 49mm Case Smartwatch Fitness Smart Watch Heart Rate Series8 For Apple IOS Android,"₦11,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/1158142/1.jpg?8340,T55 SMART WATCH T55 PRO MAX SMART WRISTWATCH SERIES 8 WITH HEALTH FEATURES FOR IPHONE & ANDROID,"₦14,000"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/918997/1.jpg?9389,Super Exotic & Non Fading Sophisticated Gold Wristwatch For Men On High Table,"₦9,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/6097352/1.jpg?7618,Full Touch Screen Smart Watch - For Android & IOS,"₦9,500"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/177228/1.jpg?6868,COUPLE UNISEX WATERPROOF  WRISTWATCH,"₦5,499"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/5194922/1.jpg?9221,Luxury DR-02 ULTRA SERIES8 SMARTWATCH WITH AIRPODS4 FOR ANDROID&IOS,"₦20,500"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/5097352/1.jpg?7579,116Plus Full Touch Screen Waterproof Sports Smart Watch,"₦4,490"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/828317/1.jpg?6745,Men Fashion Wristwatch - Gold,"₦7,300"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/2015912/1.jpg?0654,Full Touch Screen Smart Watch - Health Detection,"₦10,684"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/611159/1.jpg?2778,ORUSS Quartz Watch Men's Calendar Luminous Stailness Steel,"₦3,800"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/228066/1.jpg?8466,Wlisth Men's Watches Fashion Casual Business Quartz Watch,"₦4,327"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/7723591/1.jpg?9437,Strap Band Hand For Oraimo Smartwatch,"₦3,950"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/6596131/1.jpg?7346,Smart Watch Full Touch Fashion Watch - With Two Strap,"₦6,970"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/9758902/1.jpg?3512,Luxury Ladies Watch Leather Strap Ladies Quartz Watch - Green,"₦2,913"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/8898991/1.jpg?5586,Modern Luxury Black Leather Wrist Watch For Men By Nel Picter,"₦6,500"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/155218/1.jpg?1153,Mi Band 3/4 Strap Replacement Silicone Wrist Strap,₦999
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/3222112/1.jpg?6842,Women's Watch + Necklace + Ring + Earrings Set,"₦4,390"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/9291902/1.jpg?6013,Smart Watch Full Touch Screen Watch - For Android & IOS,"₦6,450"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/5981361/1.jpg?4428,Skmei 1389 Quartz Man Watch Fashion Watch Luminous Multi-functional Three Time,"₦14,590"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/7435731/1.jpg?3461,Large Dial Sports Watch Silicone Strap Quartz Watch - Black,"₦2,690"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/7057341/1.jpg?1342,Crystal Alloy Quartz Watch Ladies Bracelace Watches -Gold,"₦3,490"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/787018/1.jpg?9676,Fngeen Calendar Sporty Waterproof Quartz Men's Watch,"₦5,200"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/145519/1.jpg?1275,Nepic Modern Luxury Black Leather Wrist Watch For Men By NelPicter,"₦9,910"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/7672121/1.jpg?3792,BUSINESS MENS WRISTWATCH WATERPROOF WITH LEATHER BRACELETS,"₦4,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/9251302/1.jpg?8561,Waterproof Smart Wrist Watch Pro For Apple IPhone And Android Phone,"₦17,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/4723532/1.jpg?0736,Luxury Women Classic Quartz Watch Elegant Ladies Wrist Watches,"₦2,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/9396531/1.jpg?7867,Elegant Fashion Women Leather Rhinestone Wrist Watch-Gold,"₦3,190"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/276218/1.jpg?4740,Fngeen 02 Calendar Business Waterproof Quartz Watch/Blue,"₦4,980"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/7924631/1.jpg?1013,Women Watch Leather Band Ladies Quartz Wrist Watch,"₦2,390"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/344867/1.jpg?0925,BUSINESS MENS WRISTWATCH  WITH LEATHER WALLET,"₦4,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/0680122/1.jpg?4032,Strap Band For Oraimo SmartWatch,"₦4,650"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/6691052/1.jpg?4794,Led Creative Dial Rainbow Pattern Watches - White,"₦1,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/6792202/1.jpg?7404,Quartz Watch Steel Band Casual Calendar Men's Watch Fashion Watch Silver,"₦3,799"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/344867/1.jpg?2715,Classic  FASHION  DIGITAL MENS WRISTWATCH WATERPROOF SPORT WATCH,"₦3,500"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/3326811/1.jpg?2488,Ladies Wrist Watch Bracelet Set For Women,"₦2,980"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/614134/1.jpg?6253,Xinew Luminous Chronograph Digital-Analogue (Water Resistant),"₦9,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/4978341/1.jpg?7599,Three Eye Rome Quartz Women Watch,"₦2,201"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/590877/1.jpg?4921,2023 BUSINESS CLASSIC MENS WRISTWATCH + CAP + WALLET GIFT SET,"₦5,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/800934/1.jpg?6552,Curren 8329 Quartz Watch Business Men Sport Waterproof Wristwatch,"₦17,360"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/8949912/1.jpg?3793,SILICONE LED DIGITAL SPORTS ELECTRONICS WRISTWATCH - UNISEX,₦995
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/2873221/1.jpg?9887,2 Pieces Of Couple Luminous Led Wrist Watch,"₦3,690"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/3699112/1.jpg?5095,Men Watch Business Quartz Men Waterproof Fashion Wristwatch,"₦6,300"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/643519/1.jpg?8416,Men Non-Tarnish Gold Wristwatch + Steel Necklace,"₦7,400"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/7435731/1.jpg?0765,V8 Wrist Watches Men's Sport Waterproof Quartz Watch- Black,"₦2,900"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/228066/1.jpg?8466,Wlisth Men's Watches Fashion Casual Business Quartz Watch,"₦4,327"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/0513031/1.jpg?8272,Smart Watch Full Touch Screen Watch - For Android & IOS,"₦6,340"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/643519/1.jpg?8416,Men Non-Tarnish Gold Wristwatch + Steel Necklace,"₦7,400"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/3881052/1.jpg?9715,Men's Hollow Leather Belt Business Watch - Gold/Brown,"₦2,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/723668/1.jpg?1597,V8 Smart Mobile Sport Watch With SIM And Memory Card Slot,"₦10,500"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/4274352/1.jpg?4993,"Keep Moving DS Stone Iced Men""s Wristwatch Hand Chain","₦8,500"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/8490822/1.jpg?9562,2023 Stainless Steel Smart Watch Ultra Bluetooth Call NFC Wireless Charging GPS Waterproof Business Men Smartwatch For Apple IOS,"₦18,824"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/6875752/1.jpg?8360,T55 PRO MAX SMART WRISTWATCH FOR IPHONES AND ANDROIDS,"₦9,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/5981361/1.jpg?4428,Skmei 1389 Quartz Man Watch Fashion Watch Luminous Multi-functional Three Time,"₦14,590"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/787018/1.jpg?9676,Fngeen Calendar Sporty Waterproof Quartz Men's Watch,"₦5,200"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/145519/1.jpg?1275,Nepic Modern Luxury Black Leather Wrist Watch For Men By NelPicter,"₦9,910"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/7435731/1.jpg?0355,Unisex Luminous LED Electronic Wrist Watch-Black,"₦2,490"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/7672121/1.jpg?3792,BUSINESS MENS WRISTWATCH WATERPROOF WITH LEATHER BRACELETS,"₦4,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/276218/1.jpg?4740,Fngeen 02 Calendar Business Waterproof Quartz Watch/Blue,"₦4,980"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/6792202/1.jpg?7404,Quartz Watch Steel Band Casual Calendar Men's Watch Fashion Watch Silver,"₦3,799"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/0409641/1.jpg?1634,T55 SMART WATCH T55 Series 6 Smartwatch Bluetooth & Phone Call - 2 Straps,"₦8,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/126387/1.jpg?6207,"Superior Quality & Non Fading Classy ""Black Is Beautiful"" Wristwatch For The Lovers Of Black","₦7,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/9691052/1.jpg?5468,Led Creative Dial Rainbow Pattern Watches - Black,"₦1,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/9773221/1.jpg?0302,LED Luminous WristWatch - Black,"₦2,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/8898991/1.jpg?5586,Modern Luxury Black Leather Wrist Watch For Men By Nel Picter,"₦6,500"
